StateID,Query,Prct
19,no bake cookies,30
19,word cookies,24
19,christmas cookies,23
19,cake cookies,22
19,monster cookies,17
19,how to make cookies,16
19,insomnia cookies,15
19,cake mix cookies,11
19,oatmeal chocolate chip cookies,11
19,cookies by design,10
19,enable cookies,9
20,butter cookies,95
20,chocolate chip cookies,91
20,sugar cookies,83
20,peanut butter cookies,80
20,no bake cookies,70
20,oatmeal cookies,56
20,girl scout cookies,54
20,christmas cookies,26
20,word cookies,25
20,cake mix cookies,21
20,pumpkin cookies,16
20,monster cookies,13
20,insomnia cookies,13
20,lemon cookies,12
20,oatmeal chocolate chip cookies,11
20,chocolate no bake cookies,11
20,hot box cookies,10
20,oatmeal raisin cookies,10
20,gluten free cookies,10
21,chocolate cookies,99
21,no bake cookies,75
21,butter cookies,71
21,chocolate chip cookies,66
21,peanut butter cookies,60
21,sugar cookies,57
21,oatmeal cookies,47
21,word cookies,40
21,girl scout cookies,39
21,cake cookies,26
21,insomnia cookies,23
21,christmas cookies,21
21,no bake oatmeal cookies,19
21,homemade cookies,15
21,chocolate oatmeal cookies,12
21,enable cookies,12
21,no bake peanut butter cookies,12
21,chocolate no bake cookies,11
21,cake mix cookies,11
22,chocolate chip cookies,76
22,cookie,70
22,sugar cookies,68
22,butter cookies,60
22,word cookies,55
22,girl scout cookies,55
22,peanut butter cookies,47
22,oatmeal cookies,47
22,christmas cookies,23
22,no bake cookies,20
22,cake mix cookies,20
22,homemade cookies,17
22,insomnia cookies,15
22,word cookies answers,11
22,gingerbread cookies,10
22,lemon cookies,10
22,cookies by design,9
23,chocolate chip cookies,77
23,butter cookies,60
23,peanut butter cookies,46
23,sugar cookies,40
23,no bake cookies,39
23,oatmeal cookies,36
23,pumpkin cookies,25
23,girl scout cookies,24
23,pumpkin chocolate chip cookies,17
23,pumpkin chip cookies,17
23,christmas cookies,14
23,molasses cookies,11
23,word cookies,10
23,peanut butter no bake cookies,9
23,gluten free cookies,8
23,chocolate no bake cookies,7
23,oatmeal raisin cookies,7
23,apple cookies,6
23,shortbread cookies,5
23,italian cookies,5
24,chocolate cookies,100
24,chocolate chip cookies,68
24,chocolate chocolate chip cookies,68
24,butter cookies,47
24,sugar cookies,47
24,oatmeal cookies,37
24,girl scout cookies,33
24,peanut butter cookies,33
24,word cookies,21
24,insomnia cookies,19
24,best cookies,19
24,christmas cookies,18
24,how to make cookies,18
24,cake cookies,18
24,berger cookies,11
24,easy cookies,11
24,enable cookies,11
24,no bake cookies,11
24,clear cookies,10
24,pumpkin cookies,10
25,chocolate cookies,100
25,chocolate chocolate chip cookies,78
25,chocolate chip cookies,76
25,butter cookies,52
25,sugar cookies,45
25,oatmeal cookies,40
25,peanut butter cookies,35
25,girl scout cookies,31
25,insomnia cookies,20
25,christmas cookies,18
25,how to make cookies,15
25,easy cookies,14
25,word cookies,12
25,enable cookies,11
25,pumpkin cookies,11
25,italian cookies,10
25,clear cookies,10
25,vegan cookies,10
25,oatmeal chocolate chip cookies,10
26,chocolate cookies,94
26,chocolate chocolate chip cookies,72
26,chocolate chip cookies,72
26,butter cookies,69
26,peanut butter cookies,56
26,sugar cookies,56
26,no bake cookies,49
26,oatmeal cookies,43
26,girl scout cookies,32
26,insomnia cookies,30
26,word cookies,26
26,christmas cookies,24
26,cake cookies,21
26,how to make cookies,19
26,easy cookies,18
26,cookies by design,12
26,enable cookies,10
26,pumpkin cookies,10
27,chocolate cookies,100
27,chocolate chocolate chip cookies,72
27,chocolate chip cookies,72
27,butter cookies,56
27,peanut butter cookies,45
27,sugar cookies,45
27,oatmeal cookies,40
27,girl scout cookies,40
27,christmas cookies,28
27,best cookies,18
27,no bake cookies,16
27,how to make cookies,14
27,word cookies,14
27,insomnia cookies,12
27,monster cookies,12
27,chocolate chip oatmeal cookies,11
27,clear cookies,10
27,gluten free cookies,9
28,butter cookies,72
28,sugar cookies,71
28,word cookies,70
28,chocolate chip cookies,66
28,peanut butter cookies,57
28,oatmeal cookies,51
28,insomnia cookies,48
28,girl scout cookies,40
28,no bake cookies,26
28,christmas cookies,19
28,word cookies answers,18
28,cake mix cookies,16
28,chocolate oatmeal cookies,12
28,how to make sugar cookies,8
28,how to enable cookies,8
28,no bake oatmeal cookies,8
28,oatmeal raisin cookies,8
28,cookies kids,8
29,chocolate cookies,100
29,butter cookies,78
29,chocolate chip cookies,68
29,chocolate chocolate chip cookies,66
29,sugar cookies,56
29,peanut butter cookies,54
29,oatmeal cookies,45
29,girl scout cookies,42
29,no bake cookies,41
29,cake cookies,31
29,word cookies,24
29,insomnia cookies,24
29,christmas cookies,21
29,how to make cookies,20
29,easy cookies,17
29,hot box cookies,15
29,cake mix cookies,15
29,gooey butter cookies,12
29,homemade cookies,11
29,enable cookies,10
30,chocolate chip cookies,100
30,butter cookies,83
30,sugar cookies,76
30,peanut butter cookies,69
30,oatmeal cookies,60
30,no bake cookies,51
30,christmas cookies,35
30,girl scout cookies,31
30,pumpkin cookies,23
30,monster cookies,13
30,gingerbread cookies,12
30,molasses cookies,10
30,cake mix cookies,10
31,chocolate chip cookies,63
31,butter cookies,58
31,girl scout cookies,49
31,sugar cookies,46
31,peanut butter cookies,45
31,eileens cookies,37
31,oatmeal cookies,35
31,no bake cookies,29
31,christmas cookies,22
31,word cookies,15
31,oatmeal chocolate chip cookies,12
31,monster cookies,11
31,cake mix cookies,10
31,gluten free cookies,9
31,pumpkin cookies,8
31,eileens cookies omaha,7
31,oatmeal raisin cookies,7
31,gingerbread cookies,5
31,snickerdoodle cookies,5
32,chocolate chip cookies,73
32,butter cookies,56
32,sugar cookies,55
32,cookie,53
32,oatmeal cookies,42
32,peanut butter cookies,39
32,girl scout cookies,35
32,christmas cookies,18
32,word cookies,16
32,no bake cookies,14
32,pumpkin cookies,13
32,cookies strain,11
32,vegan cookies,10
32,lemon cookies,8
32,shortbread cookies,7
32,cookies by design,7
32,gingerbread cookies,7
32,how to clear cookies,6
