chocolate chip cookies,100
sugar cookies,74
peanut butter cookies,71
oatmeal cookies,62
no bake cookies,59
girl scout cookies,27
christmas cookies,27
pumpkin cookies,25
eileens cookies,20
gingerbread cookies,10
shortbread cookies,10
pumpkin chocolate chip cookies,7
eileens cookies cheyenne,7
