chocolate chip cookies,100
butter cookies,83
sugar cookies,76
peanut butter cookies,69
oatmeal cookies,60
no bake cookies,51
christmas cookies,35
girl scout cookies,31
pumpkin cookies,23
monster cookies,13
gingerbread cookies,12
molasses cookies,10
cake mix cookies,10
